"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"EMX2OS"	6.18922129964636e-70	-0.808253100038883	0.191	0.824	1.4613370410595e-65
"SQLE"	6.80954411779046e-70	-0.929458504435271	0.469	0.933	1.60780146165151e-65
"MRPL47"	9.10132428488951e-70	0.588658220424068	1	0.995	2.14891367690526e-65
"HOXC8"	1.0246108724806e-69	0.630622921812812	0.558	0.036	2.41920873101395e-65
"VAPA"	1.4876974094085e-69	0.620263196885014	1	1	3.51260235335442e-65
"PPP2R2A"	2.20491508956987e-69	0.881921642202495	0.99	0.9	5.20602501798343e-65
"TSC22D2"	2.21958955333227e-69	0.940652117172487	0.878	0.377	5.24067289437282e-65
"CACYBP"	2.8604763817249e-69	-0.712345727024812	0.967	1	6.75387078489066e-65
"IFT57"	3.51112890831779e-69	-0.698195446045943	0.947	1	8.29012646542915e-65
"SNCG"	5.20801066870953e-69	-0.88819496785488	0.218	0.835	1.22966339898901e-64
"PPIG"	5.44884303258995e-69	0.811217591049226	0.987	0.924	1.28652632842481e-64
"LSM8"	7.32954733561128e-69	-0.788673964044609	0.63	0.976	1.73057942141118e-64
"CCDC86"	1.24362349712425e-68	0.727213735123552	0.785	0.211	2.93631943906006e-64
"ACTB"	1.3567274776533e-68	-0.551788032586635	1	1	3.20336924748721e-64
"AURKAIP1"	1.54041219557859e-68	-0.677867198031273	0.997	1	3.6370672349806e-64
"SNU13"	1.72615314121973e-68	0.611057940685103	1	0.998	4.0756201817339e-64
"TRAPPC1"	2.02458566477108e-68	-0.826085518638441	0.66	0.973	4.78024921309101e-64
"ZNF408"	2.19760832436816e-68	0.792568139896428	0.782	0.227	5.18877301466565e-64
"TNNT1"	3.56292489094755e-68	-0.755197299874569	0.851	0.991	8.41242196001626e-64
"SERTAD1"	4.25996697214525e-68	1.07655899575705	0.848	0.338	1.00582080179321e-63
"ALKBH7"	7.45049583513743e-68	-0.768775403657326	0.574	0.969	1.7591365716343e-63
"HNRNPDL"	1.17913088601399e-67	0.788719636194975	0.993	0.98	2.78404593496764e-63
"TMEM223"	1.19999135511854e-67	-0.822193909152027	0.32	0.886	2.83329958857038e-63
"AKR1A1"	1.51601673541743e-67	-0.839158615725405	0.475	0.938	3.5794671139941e-63
"ANXA5"	1.74237318956777e-67	-0.671318375370157	0.993	1	4.11391733788847e-63
"SURF1"	2.95614541870372e-67	-0.763853842206614	0.746	0.984	6.97975494810135e-63
"ECI1"	2.99110381200361e-67	-0.780297160434904	0.855	0.996	7.06229521052172e-63
"ARL3"	4.29405014877276e-67	-0.745171297103567	0.875	0.985	1.01386818062674e-62
"PTRH2"	5.50842009286771e-67	0.987130692432016	0.934	0.653	1.300593068127e-62
"LYPD1"	6.1123023099895e-67	0.753082916096023	0.63	0.085	1.44317569841162e-62
"SLIRP"	6.54920897534564e-67	0.487346606161164	1	1	1.54633373116886e-62
"VEGFB"	7.71321976887253e-67	-0.743840594905511	0.746	0.976	1.82116831962849e-62
"LAMTOR1"	9.56943399282572e-67	-0.743876938497837	0.805	0.995	2.25943906004608e-62
"TALDO1"	9.75549415357132e-67	-0.72883709849049	0.927	0.993	2.30336972459973e-62
"HOXC9"	1.04651801826259e-66	0.740073157816203	0.561	0.047	2.4709336929198e-62
"TMCC3"	1.08593941651937e-66	-0.836017842279834	0.149	0.779	2.56401155634387e-62
"CBX4"	1.8020943436877e-66	0.793869858730779	0.782	0.216	4.25492495488104e-62
"TIMM17A"	1.82467627584442e-66	0.63206996340117	1	0.991	4.30824315489625e-62
"AP2M1"	1.86396025496183e-66	-0.647782569470361	0.941	1	4.40099655799038e-62
"PRPF6"	2.64757907604542e-66	-0.787782023196323	0.396	0.924	6.25119895645084e-62
"LAMTOR4"	3.0108051253688e-66	-0.662070642068879	0.934	1	7.10881198150827e-62
"SRSF2"	3.15147062471089e-66	0.938103283218165	1	0.998	7.44093729200489e-62
"IER3"	3.63521568171755e-66	1.29820388718338	0.904	0.53	8.5831077461033e-62
"ARPC1A"	4.0514966980962e-66	-0.621986831872012	0.921	1	9.56598885387494e-62
"SPEN"	4.37379423219426e-66	0.839201892674568	0.983	0.918	1.03269655616339e-61
"RSL1D1"	5.79493946332041e-66	0.621560219160594	1	0.976	1.36824315668458e-61
"TMED4"	6.45245728963338e-66	-0.761832344913278	0.558	0.975	1.52348969065534e-61
"SLC35F5"	8.16763968252994e-66	-0.791840557532443	0.32	0.88	1.92846140544214e-61
"FASN"	1.03135571144882e-65	-0.830590834019732	0.749	0.982	2.43513397030181e-61
"ABLIM1"	1.13635998104414e-65	-0.914032035470824	0.366	0.902	2.68305955124331e-61
"ZFAND2A"	1.5414943653568e-65	0.726834875486514	0.848	0.29	3.63962234604394e-61
"DFFA"	2.86559246493957e-65	-0.744110204166297	0.558	0.964	6.76595036896881e-61
"TRA2A"	4.2801556403373e-65	1.02688360357551	0.815	0.314	1.01058754824004e-60
"MTHFD2"	5.26697437543875e-65	-0.843156709119639	0.581	0.936	1.24358531978484e-60
"SKAP2"	7.47567523932571e-65	-0.739432064620746	0.673	0.98	1.76508168075719e-60
"ADD3"	8.09175938191908e-65	-0.778511069711638	0.426	0.92	1.91054530766491e-60
"BLOC1S1"	1.4249411959705e-64	-0.712291748831989	0.756	0.995	3.36442865780595e-60
"BEX4"	1.92925921783915e-64	-0.882315259694628	0.482	0.902	4.55517393924002e-60
"DBI"	4.06556840073116e-64	-0.532326498404031	0.997	1	9.59921355096634e-60
"SNF8"	5.12054428857662e-64	-0.714068530604311	0.858	0.991	1.20901171197583e-59
"TSPO"	6.196268964917e-64	-0.79758347662634	0.568	0.955	1.46300106530655e-59
"GTF3C6"	6.94418303879097e-64	-0.702626875710071	0.776	0.993	1.63959105728894e-59
"MB21D2"	1.21980592339918e-63	0.58564527095464	0.515	0.033	2.88008376573781e-59
"SMIM22"	1.23053437157646e-63	-0.794671286187117	0.502	0.949	2.90541470472919e-59
"VPS28"	1.6593359366277e-63	-0.767398909888068	0.591	0.969	3.91785807997166e-59
"C8orf33"	2.13594187705647e-63	0.711728910234101	0.967	0.762	5.04317236591803e-59
"UBE2L3"	2.72961797874184e-63	0.555970714685515	1	0.982	6.44490100960735e-59
"POLR2I"	4.24180222651899e-63	-0.680531248179008	0.881	0.995	1.0015319237034e-58
"COMTD1"	4.40011834387684e-63	-0.743780626688649	0.198	0.8	1.03891194217276e-58
"CTXN1"	4.49162386484639e-63	-0.779371691717966	0.521	0.947	1.06051731072888e-58
"IL1R1"	4.68989298186578e-63	-0.737577264897329	0.182	0.779	1.10733063194833e-58
"SF3B6"	5.82518623149812e-63	0.502228662409331	1	1	1.37538472111902e-58
"ZBED2"	5.85610175738102e-63	-0.748552028826831	0.017	0.623	1.38268418593523e-58
"HMGN2"	6.4230759619791e-63	0.613585747370123	1	0.998	1.51655246538289e-58
"SEC61G"	9.15043854806479e-63	0.451841777836321	1	1	2.16051004558358e-58
"RGS10"	1.09908055369474e-62	-0.879478080613463	0.845	0.985	2.59503909532865e-58
"DRAP1"	1.24278711778505e-62	-0.655156612730377	0.894	0.987	2.93434466380228e-58
"TCERG1"	1.84515155549106e-62	0.727024978713138	0.967	0.829	4.35658733766993e-58
"GSTP1"	2.1352676756773e-62	-0.480176086261793	1	1	5.04158050904168e-58
"BUD31"	2.31729072627946e-62	0.613066222653966	1	0.971	5.47135513381844e-58
"UBXN1"	2.52544114386045e-62	-0.644615310996336	0.927	1	5.9628190847689e-58
"HES4"	2.59227304588925e-62	-0.91113613267856	0.244	0.826	6.1206158886491e-58
"DIPK1B"	2.6574654272697e-62	-0.72557367305576	0.165	0.773	6.27454162032648e-58
"NME4"	3.32285383729011e-62	-0.767171827427396	0.611	0.967	7.84559019522568e-58
"NAXE"	5.34611644137263e-62	-0.758342729271006	0.614	0.958	1.26227155297249e-57
"SSPN"	5.85356513903611e-62	-0.834546380291476	0.403	0.898	1.38208526497782e-57
