"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"MT-ND4L"	4.46005405387833e-190	-0.916375102555432	0.706	0.981	1.05306336266121e-185
"MT1F"	5.26980309388884e-190	1.3593099758661	0.893	0.459	1.24425320849809e-185
"IL18"	3.24168443472935e-189	-1.0471246180242	0.122	0.717	7.65394111883947e-185
"MED29"	7.66613086410505e-189	-0.80914719046386	0.591	0.97	1.81005015832384e-184
"UBXN4"	1.19599852653289e-188	-0.836360261743323	0.516	0.949	2.8238721209968e-184
"HMGN3"	1.64303987691112e-188	-0.788848843402499	0.937	1	3.87938145337484e-184
"RAB13"	2.92967990356775e-188	-0.820326818092442	0.8	0.988	6.91726722031381e-184
"LSM3"	4.21639395933756e-188	0.613203578614852	0.999	0.994	9.95532777739192e-184
"SQLE"	1.90655240795684e-187	-0.994259053080711	0.456	0.902	4.50156089042689e-183
"RPS3A"	2.80850511925076e-187	-0.412116035824923	1	1	6.63116143706298e-183
"AKR1A1"	3.09338931923317e-187	-0.807409427212942	0.405	0.919	7.30380152164143e-183
"TPR"	7.91629223418179e-187	-0.84305460660963	0.637	0.966	1.86911575941266e-182
"INTS11"	3.8860631521983e-185	-0.784291604471345	0.573	0.957	9.17538370865541e-181
"ASS1"	3.36494565592556e-184	-0.926477492947742	0.574	0.951	7.94497318820584e-180
"RPS15"	1.39045253425732e-183	0.392702889495934	1	1	3.28299747863497e-179
"AP2M1"	5.67627550399966e-183	-0.681544442696071	0.924	1	1.34022540924936e-178
"APRT"	1.04325104915892e-182	-0.691894394786061	0.915	1	2.46322005216913e-178
"GSTO1"	2.32767418465896e-182	-0.835759108059944	0.561	0.954	5.49587151739826e-178
"ADGRL2"	2.94169709788679e-182	-0.806070295778539	0.26	0.831	6.94564101782051e-178
"TFDP2"	8.75590203485213e-182	-0.802382745747691	0.728	0.976	2.06735602944894e-177
"ADD3"	1.70287787126506e-181	-0.825028470873732	0.371	0.892	4.02066494184394e-177
"POLR2I"	1.10991329736041e-180	-0.72229932422737	0.857	0.993	2.62061628639767e-176
"COMTD1"	1.13735407833083e-180	-0.76672785437237	0.131	0.713	2.68540671434692e-176
"ASAH1"	2.12290742200432e-180	-0.689733522058125	0.923	0.999	5.01239671409441e-176
"LDHB"	2.46946383216938e-180	-0.504211228746467	1	1	5.83065105413512e-176
"ATP5MC1"	7.99048039179493e-180	-0.757005252574859	0.894	0.999	1.8866323253067e-175
"HAGHL"	6.33397810141329e-179	-0.719062494809096	0.108	0.684	1.49551556952469e-174
"ANXA5"	7.14686241963856e-179	-0.745931589643608	0.922	0.995	1.68744568590086e-174
"SDF2L1"	1.51087481233843e-178	-0.867223384836673	0.511	0.948	3.56732651941227e-174
"RPS9"	1.55040770348652e-178	0.549990478115494	1	1	3.66066762870201e-174
"C19orf33"	1.80254766691562e-178	-0.744358745509237	0.956	1	4.25599529635447e-174
"DBI"	2.31689353920033e-178	-0.598896211161603	0.994	1	5.47041733540591e-174
"GRIA4"	3.10154258630101e-178	-0.646934337404814	0.04	0.582	7.32305220051532e-174
"UPK1B"	8.69010092645075e-178	-1.17621934325548	0.646	0.955	2.05181972974429e-173
"LGALS3"	2.08208690931354e-177	-0.857747623721258	0.822	0.989	4.91601540158019e-173
"TUBA1A"	4.0942349216004e-177	-0.981475843414886	0.207	0.767	9.6668980733907e-173
"UCHL1"	4.60705234699853e-177	-0.797075449906316	0.95	0.993	1.08777112964982e-172
"PARP14"	1.10835623343355e-176	-0.88454661602073	0.542	0.945	2.61693990275996e-172
"COPB2"	2.28551750924112e-174	-0.757929654772495	0.836	0.987	5.39633539106922e-170
"MICAL2"	1.03651021694657e-173	-0.85701509228524	0.371	0.881	2.44730427323256e-169
"ID1"	1.75654961949132e-173	1.21563949120939	0.998	0.991	4.14738930658095e-169
"DTD1"	2.03456073459176e-173	-0.846868624811598	0.479	0.904	4.80380135044461e-169
"PSIP1"	2.53444544245246e-173	-0.818986716325002	0.52	0.94	5.9840791341745e-169
"WDR43"	2.70452909882347e-173	0.766950749968565	0.985	0.843	6.38566365523209e-169
"PRPF6"	3.84467341968508e-173	-0.777626590583447	0.484	0.919	9.07765841121845e-169
"SNF8"	3.91738519946462e-173	-0.713197909752035	0.836	0.99	9.24933819445592e-169
"CP"	3.93497310000027e-173	-1.36895262179588	0.547	0.93	9.29086498641063e-169
"BLOC1S1"	5.3732297966381e-173	-0.72601697632529	0.73	0.987	1.26867328728422e-168
"STUB1"	6.51815192393702e-173	-0.787146413306008	0.708	0.998	1.53900085076077e-168
"TRAPPC6A"	1.1244924999294e-172	-0.741966980066556	0.317	0.842	2.6550392415833e-168
"POLR2L"	1.85538683090041e-172	0.599770905688804	1	0.999	4.38075384643895e-168
"SNHG1"	9.8885566008235e-172	1.84567351787676	0.904	0.625	2.33478709902044e-167
"ATP5PD"	1.05851731733105e-171	-0.667719446964956	0.959	0.999	2.49926523795035e-167
"DYRK1B"	5.01085591890574e-171	-0.666757042630099	0.168	0.734	1.18311319101283e-166
"PDIA4"	5.07588510782403e-171	-0.791249510277889	0.513	0.933	1.19846723280833e-166
"CKS1B"	1.07641142525495e-170	0.815957367372584	0.993	0.938	2.54151501616945e-166
"RPL4"	3.5991430739739e-170	-0.439850442963025	1	1	8.49793671195977e-166
"PDRG1"	4.56592212393849e-170	0.940407337163446	0.881	0.419	1.07805987268312e-165
"RCN1"	8.155318872825e-170	-0.80606901505248	0.696	0.966	1.92555233906271e-165
"HSPA5"	8.24508995641459e-170	-0.835895941179167	0.981	0.998	1.94674818960905e-165
"TMED4"	1.95005614962538e-169	-0.767504072635769	0.641	0.967	4.60427757488048e-165
"TMEM35B"	2.34389327414787e-169	-0.674888795273559	0.112	0.667	5.53416640959055e-165
"CBR1"	2.5771812656006e-169	-0.788143508243523	0.593	0.972	6.08498268620957e-165
"FADS2"	3.51246061391786e-169	-0.810932721505621	0.348	0.853	8.29327075552146e-165
"TLN1"	2.16704758310254e-168	-0.75606885647647	0.706	0.973	5.1166160484634e-164
"LMO3"	5.68967298496697e-168	-0.797108653265605	0.085	0.631	1.34338868848055e-163
"PRDX5"	7.58763540736539e-168	-0.540585425853801	0.998	1	1.79151659603304e-163
"HSP90B1"	7.03609455874193e-167	-0.701057381647034	0.981	1	1.66129228626456e-162
"SNRPE"	1.92261864323317e-166	0.641569372538223	1	0.996	4.53949487853784e-162
"COL18A1"	2.12555522685369e-166	-0.850559985445841	0.57	0.933	5.01864844612424e-162
"DIPK1B"	5.81004411594501e-166	-0.740595898340406	0.197	0.755	1.37180951621578e-161
"ACAT2"	9.33279097042113e-166	-0.843793382374511	0.363	0.852	2.20356527602613e-161
"HNRNPA2B1"	1.69663676473443e-165	-0.654169869160387	0.999	1	4.00592906521446e-161
"PFDN4"	2.39269067857648e-165	0.711792635135652	0.997	0.982	5.64938196118692e-161
"MANF"	3.42022800337233e-165	-0.836317921563063	0.686	0.972	8.0755003387624e-161
"SOX2"	4.26322555585884e-165	-0.829689463812432	0.239	0.795	1.00659018599383e-160
"SCAND1"	5.49468441349219e-165	-0.651265867005695	0.926	0.998	1.29734993686964e-160
"TAF10"	8.59336553440664e-165	-0.715117045667765	0.769	0.99	2.02897953632875e-160
"RRBP1"	9.80848196412417e-165	-0.803963071222437	0.454	0.9	2.31588067654936e-160
"RPL12"	1.86689630145787e-164	-0.439259308127036	1	1	4.40792885737217e-160
"PPP1R14A"	5.12616542575481e-164	-0.848745258436095	0.471	0.919	1.21033891867497e-159
"UBXN1"	5.65073890828158e-164	-0.65942309480786	0.901	1	1.33419596363436e-159
"SF3B6"	4.3127732164231e-163	0.551805264660046	1	1	1.01828888412966e-158
"RGS10"	4.94796821666924e-163	-0.933773652296381	0.743	0.964	1.16826477563777e-158
"RSRC2"	5.15814550863085e-163	1.15743083874892	0.973	0.906	1.21788973604283e-158
"NDUFS7"	9.70696731270493e-163	-0.72866212124639	0.442	0.913	2.29191205220276e-158
"EMX2"	9.99383240792793e-163	-0.823608280293273	0.583	0.959	2.35964376983586e-158
"RTN3"	2.61118381636276e-162	-0.683411903218603	0.818	0.988	6.16526610881411e-158
"HNRNPDL"	5.50779776257557e-162	0.676716999920894	0.998	0.978	1.30044612972172e-157
"PSMD2"	1.92309079601481e-161	-0.566371509071239	0.996	1	4.54060967847057e-157
"NAXE"	2.10499018308258e-161	-0.764414826765738	0.562	0.938	4.97009232127628e-157
"RPS18"	2.91404629130212e-161	-0.349838974128394	1	1	6.88035469839343e-157
"NDUFB10"	5.46666751656552e-161	-0.564349869878954	0.998	1	1.29073486733628e-156
"RPF2"	6.08244712861031e-161	0.841433122309275	0.971	0.759	1.43612659153618e-156
