Combo_0	Combo_1	Combo_10	Combo_2	Combo_3	Combo_4	Combo_5	Combo_6	Combo_7	Combo_8	Combo_9	DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9
ANKHD1	SMG1	ZNF736	TRIM28	SPEN	SETD5	LATS2	SELENOI	ID1	AKAP8L	DCAF5	ATAD2	XRN1	DYNC2H1	VPS8	IPO7	KIF20B	POLR1A	AUTS2	ABCA1	ESPL1	WSB1
GRAMD2A	ERVK13-1	GABPB1	MAP3K8	PTX3	ZNF546	ID1	ATAD5	RNF215	CRAMP1	SPEN	TOP2A	EMP1	CCNJL	ARFGEF2	FBXL4	SOS2	MIPOL1	CD47	MORN1	SOS2	LRRC75A
POGZ	ANXA1	KLF10	GADD45B	KDM5C	ZRANB2	CEP192	AGO2	OBSCN	GREB1L	S100A2	BRWD3	VPS8	TSHZ1	CATSPER2	UGGT2	HMGCS1	ZNF217	CATSPER2	JMJD1C	SPON1	MFSD14C
NUP153	DYRK1A	SURF6	GABPA	KMT2D	BOD1L1	ANXA1	PPIL2	PLXNA3	CDK11A	CLK1	FN1	FBXL4	SUOX	CLU	ZNF484	ARFGEF2	TRIO	NMU	WDR47	LINC02004	DNAJC27
GATA2	NFKB1	RSRC2	ZNF780B	BCORL1	XRN1	KDM5C	BRD1	TSHZ1	NACC1	LUC7L3	PDGFB	RAPGEF3	SPATA6L	IPO7	DDX11	UGGT2	CDC42BPB	NCALD	LRBA	KLHL24	MCM7
DNHD1	CATSPERG	MIGA2	TOP2B	LGALS1	MED13	UBE4B	H2AFX	IGFBP3	YJEFN3	IQGAP3	PTOV1-AS1	SRGAP3	LENG8	SUOX	PRDM5	AC138150.1	TM4SF1	TENT4A	ANKRD23	FAM83D	DYNC2H1
NUP160	POLR1A	AGO3	BHLHE41	SSB	UBR5	SLC9A1	ATXN2L	IRF1	NCOA5	PCNT	CCDC171	NFATC2IP	XRN1	ARHGAP42	MLH3	ARHGAP29	ZNF254	ULK1	TRIO	TRIP12	AC061992.2
CREBRF	BOD1L1	ZFX	SURF6	KRT19	SCAF8	NUP160	RBM4	H2AFX	CEP350	ATXN2L	PTTG1	CCDC171	EMP1	MTR	CMYA5	KNTC1	REV3L	IGFBP3	NCALD	DDX60L	KIF14
ID2	CCAR2	KNTC1	KMT2D	CRABP2	AKAP8L	FANCM	CRAMP1	MKX	STX16	CHD6	KNTC1	MTMR1	CEP97	SOS2	RFX2	SAMD4A	NHS	IKBKB	CDH6	ITGA3	RFX2
BPTF	RSRC2	SKIL	STK11IP	CRAMP1	PAN2	PUM2	YJEFN3	FAM83H	PNISR	PPP6R3	CAMTA1-DT	ANKRD36C	IFT172	IKBKB	AMDHD2	RFX2	TTC21B	HMGCS1	H6PD	NUFIP2	SMC4
